"Dog_num","Health_Status","Breed","Month","Num_Days","Positive_Health","Total_Time_Read_SEC","Time_Acive_SEC","Rest_Time_SEC","Percent_Time_Active","Count_of_Walks","Time_Walking","Average_Time_of_Walk","Count_of_Other","Time_Other","Average_Time_of_Other","Count_of_Itch","Time_Itching","Average_Time_of_Itch","Count_of_Shake","Time_Shaking","Average_Time_of_Shake","Count_of_Drink","Time_Drinking","Average_Time_of_Drink","Count_of_Eat","Time_Eating","Average_Time_Eating","Count_of_Run","Time_Running","Average_Time_of_Run"
1,"Unknown","Unknown","Unknown",1,"Unknown",83515.963,5888.327,77627.636,7.05054074512677,198,2039.616,10.3010909090909,47,502.549,10.6925319148936,130,2371.538,18.2426,83,768.909,9.26396385542169,2,16.92,8.46,9,162.915,18.1016666666667,3,25.88,8.62666666666667
2,"Unknown","Unknown","Unknown",1,"Unknown",86192.82,4665.294,81527.526,5.4126248566876,162,2572.611,15.8803148148148,23,279.072,12.1335652173913,70,928.657,13.2665285714286,32,205.255,6.41421875,19,397.974,20.946,13,244.845,18.8342307692308,3,36.88,12.2933333333333
3,"Mild Arthritis","German Shepherd/Goldendoodle Mix","10",8,"N",633799.2,25854.84,607944.36,4.07934247944775,772,15816.12,20.4872020725389,88,2101.48,23.8804545454545,10,49.8,4.98,88,571.48,6.49409090909091,101,3547.96,35.1283168316832,90,3501.4,38.9044444444444,35,15816.12,451.889142857143
4,"Healthy","Goldendoodle","11",8,"Y",644572.68,34378.04,610194.64,5.33346216287045,1358,20463.68,15.0689837997054,220,3576.16,16.2552727272727,101,2641.2,26.1504950495049,113,687.48,6.08389380530974,56,4158.76,74.2635714285714,61,2736.56,44.8616393442623,20,20463.68,1023.184
5,"Healthy","German Shepherd","10",8,"Y",678233.24,60341.92,617891.32,8.8969275525334,2267,34931.32,15.4086104984561,392,5443.32,13.8860204081633,244,2762.48,11.3216393442623,353,2257.88,6.39626062322946,233,5317.72,22.8228326180258,189,4660.48,24.6586243386243,593,34931.32,58.9061045531197
6,"Healthy","Labrador Retriever","10",8,"Y",564530.6,40672.04,523858.56,7.20457668725132,1614,23790.36,14.74,265,3605.32,13.6049811320755,45,502.12,11.1582222222222,235,1688.6,7.18553191489362,53,1793.88,33.8467924528302,114,4844.44,42.4950877192982,365,23790.36,65.1790684931507
7,"Healthy","German Shepherd/Doberman/Lab Mix","10",8,"Y",596160.04,62518.24,533641.8,10.4868216259513,646,8609.16,13.3268730650155,108,1748.6,16.1907407407407,37,1185.72,32.0464864864865,126,864.96,6.86476190476191,67,4864.32,72.6017910447761,104,3504.84,33.7003846153846,107,8609.16,80.4594392523365
8,"Healthy","Golden Retriever","11",8,"Y",336166.92,31241.8,304925.12,9.29353786505823,1186,NA,NA,165,NA,NA,55,NA,NA,172,NA,NA,79,NA,NA,209,NA,NA,213,NA,NA
9,"OA","Labrador Mix","11",8,"N",669081.4,34486.72,634594.68,5.15433847062555,1381,21182.72,15.3386821144098,76,884.92,11.6436842105263,23,329.24,14.3147826086957,121,793.16,6.55504132231405,97,4705.12,48.5063917525773,314,6390.44,20.3517197452229,22,21182.72,962.850909090909
10,"OA","Large Breed Mix","10",8,"N",651761.68,22247.28,629514.4,3.41340718282179,805,11427.8,14.1960248447205,125,2188,17.504,47,704.24,14.983829787234,121,919.16,7.59636363636364,41,2845.36,69.3990243902439,94,3505.24,37.2897872340426,63,11427.8,181.393650793651
11,"Unknown","Unknown","10",8,"Unknown",552748.6,57220.68,495527.92,10.3520262195146,1782,40223.56,22.5721436588103,319,4227.12,13.2511598746082,104,1032.32,9.92615384615384,311,2279.56,7.32977491961415,93,1900.28,20.4331182795699,190,4913.44,25.8602105263158,387,40223.56,103.93684754522
12,"Lumbar OA","Mixed","10",8,"N",657500.64,14180.2,643320.44,2.15668231136627,496,7882.04,15.8912096774194,61,1034.4,16.9573770491803,13,97.52,7.50153846153846,109,769.64,7.06091743119266,60,1173.6,19.56,171,3203.16,18.7319298245614,4,7882.04,1970.51
13,"OA","Retriever Mix","10",8,"N",661143.2,19069.96,642073.24,2.88439176263176,897,12547.12,13.9878706800446,56,553.76,9.88857142857143,16,399.32,24.9575,67,498.32,7.43761194029851,50,3020.04,60.4008,57,1608.72,28.2231578947368,58,12547.12,216.329655172414
